SNName,RA(deg),DEC(deg),observed,yearchecked
SN2020adow,128.42610833333333,27.712175,True,2020
SN2021zet,328.05559166666666,-23.37698888888889,False,2021
SN2021mqh,174.96029583333333,-7.607388888888888,False,2021
SN2020aatc,42.068458333333325,-10.252088888888888,False,2020
SN2021yyg,79.08763749999999,-13.477769444444444,False,2021
SN2020uzq,353.5008291666666,-11.78311388888889,False,2020
SN2021K,206.79455416666664,34.089261111111114,False,2021
SN2020zgl,352.00476249999997,-2.1648916666666667,False,2020
SN2021yja,51.088224999999994,-21.565608333333333,False,2021
SN2021pit,56.125858333333326,-44.63256944444444,True,2021
SN2021vaz,85.50715,69.37686944444444,False,2021
SN2021aai,108.61192083333333,84.38095833333333,False,2021
SN2020aboh,139.38235,41.992780555555555,False,2020
SN2021mwj,144.17412499999998,-21.146416666666667,False,2021
SN2021jtt,145.31855,35.88403611111111,False,2021
SN2021do,154.2361125,73.39758055555556,False,2021
SN2021hpr,154.1609125,73.40049722222223,False,2021
SN2021gmj,159.69697916666664,53.508433333333336,False,2021
SN2021jag,181.6874208333333,67.16495277777778,False,2021
SN2019edo,182.96485833333332,24.136575,True,2019
SN2021gno,183.04287499999998,13.249180555555554,False,2021
SN2021smj,186.69397916666665,8.882669444444446,False,2021
SN2021J,186.6125625,31.222380555555553,True,2021
SN2021qvv,187.01215416666665,9.802850000000001,False,2021
SN2021bug,188.59480416666665,2.3172527777777776,True,2021
SN2021skf,193.4889583333333,-8.770769444444445,False,2021
SN2021oat,195.03441666666666,28.170308333333335,False,2021
SN2021lxb,195.4943708333333,28.008569444444444,False,2021
SN2021fxy,198.25654583333332,-19.51255,False,2021
SN2020uxz,21.02870833333333,12.92146111111111,False,2020
SN2021ads,203.78145416666666,-33.48318611111111,False,2021
SN2019ein,208.37139166666663,40.27538888888889,False,2019
SN2021pfs,210.84826666666666,-6.031638888888889,False,2021
SN2020tlf,220.0418083333333,42.777677777777775,True,2020
SN2021mnj,221.33578749999998,38.73849166666667,False,2021
SN2021ass,27.542199999999998,27.645219444444443,False,2021
SN2021sjt,309.3300083333333,66.10641666666666,False,2021
SN2021qvr,352.11104583333326,22.419969444444444,False,2021
SN2021rhu,0.8142874999999999,16.14569722222222,False,2021
SN2021mxx,284.2136458333333,36.62232777777778,False,2021
SN2021ucg,341.90690416666666,39.88316944444445,False,2021
SN2020xua,342.8423958333333,32.351369444444444,False,2020
SN2020szr,347.3878916666666,15.659272222222222,True,2020
SN2021cwc,99.94512916666666,65.45205555555556,False,2021
SN2021ukt,12.353583333333333,-1.766338888888889,False,2021
SN2020zoq,159.08988749999997,13.71871111111111,False,2020
SN2021qyy,176.12359999999998,69.72928888888889,False,2021
SN2020abjq,16.560958333333332,3.573911111111111,True,2020
SN2021bhd,207.0612375,68.08978055555555,False,2021
SN2020pni,225.95818333333332,42.11403333333333,False,2020
SN2021uds,2.683066666666666,-63.10098888888889,False,2021
